gene,sample,expression,time
Nucb2,GSM2545336,460,8
Clip4,GSM2545336,2217,8
Tipin,GSM2545336,990,8
Amy1,GSM2545336,1353,8
Efhd1,GSM2545336,1670,8
Smim15,GSM2545336,1897,8
Zfp658,GSM2545336,712,8
E2f6,GSM2545336,1730,8
Lix1,GSM2545336,379,8
Coq4,GSM2545336,286,8
Otoa,GSM2545336,98,8
Mex3a,GSM2545336,147,8
Tmem132c,GSM2545336,1669,8
Dclk1,GSM2545336,14189,8
Eml2,GSM2545336,5852,8
Glyr1,GSM2545336,10017,8
Gm1976,GSM2545336,606,8
Smyd3,GSM2545336,1943,8
Dcaf8,GSM2545336,9394,8
Lias,GSM2545336,1412,8
Msn,GSM2545336,2693,8
Timmdc1,GSM2545336,540,8
H2-Q6,GSM2545336,148,8
Asic3,GSM2545336,85,8
Col5a3,GSM2545336,507,8
Stx3,GSM2545336,3644,8
AW046200,GSM2545336,83,8
Hsf1,GSM2545336,1293,8
Colq,GSM2545336,121,8
Rcor3,GSM2545336,1668,8
Slc6a20a,GSM2545336,1389,8
Prps1,GSM2545336,3015,8
Keap1,GSM2545336,2757,8
Tap2,GSM2545336,609,8
Slc16a7,GSM2545336,1065,8
Eif2b3,GSM2545336,818,8
Flywch1,GSM2545336,16657,8
Amigo2,GSM2545336,1353,8
Hspd1,GSM2545336,7124,8
Sost,GSM2545336,17,8
Gm8615,GSM2545336,10,8
Kcnk13,GSM2545336,140,8
Tspyl2,GSM2545336,6901,8
Spsb3,GSM2545336,3445,8
Gm8493,GSM2545336,12,8
Fgf22,GSM2545336,163,8
Slc6a6,GSM2545336,7622,8
Xist,GSM2545336,39967,8
Ddx3y,GSM2545336,1,8
Eif2s3y,GSM2545336,0,8
Kdm5d,GSM2545336,0,8
Uty,GSM2545336,0,8
Eif2s3x,GSM2545336,2767,8
Kdm6a,GSM2545336,3329,8
Casp12,GSM2545336,407,8
Ddx3x,GSM2545336,28751,8
Prl2c3,GSM2545336,93,8
Casp1,GSM2545336,100,8
Pbdc1,GSM2545336,489,8
Kdm5c,GSM2545336,4566,8
Ctxn2,GSM2545336,229,8
Ldoc1,GSM2545336,340,8
